Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Belize,904.0,Latin America and the Caribbean,916.0,Central America,902.0,Developing regions,16.0,27.0,13.0,21.0,37.0,26.0,25.0,23.0,53.0,33.0,38.0,41.0,27.0,37.0,41.0,43.0,27.0,33.0,20.0,37.0,28.0,24.0,35.0,16.0,25.0,37.0,24.0,28.0,48.0,38.0,39.0,36.0,34.0,53.0
Immigrants,Foreigners,Benin,903.0,Africa,914.0,Western Africa,902.0,Developing regions,2.0,5.0,4.0,3.0,4.0,3.0,6.0,4.0,20.0,14.0,13.0,13.0,25.0,25.0,18.0,15.0,29.0,32.0,19.0,37.0,35.0,66.0,71.0,78.0,112.0,95.0,116.0,183.0,205.0,238.0,290.0,284.0,391.0,397.0
Immigrants,Foreigners,Bhutan,935.0,Asia,5501.0,Southern Asia,902.0,Developing regions,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,6.0,6.0,8.0,7.0,1.0,5.0,10.0,7.0,36.0,865.0,1464.0,1879.0,1075.0,487.0
Immigrants,Foreigners,Bolivia (Plurinational State of),904.0,Latin America and the Caribbean,931.0,South America,902.0,Developing regions,44.0,52.0,42.0,49.0,38.0,44.0,79.0,165.0,63.0,68.0,71.0,214.0,247.0,180.0,75.0,61.0,96.0,43.0,33.0,42.0,33.0,72.0,57.0,59.0,85.0,134.0,139.0,107.0,143.0,214.0,180.0,86.0,83.0,107.0
Immigrants,Foreigners,Bosnia and Herzegovina,908.0,Europe,925.0,Southern Europe,901.0,Developed regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,2095.0,2090.0,3007.0,2599.0,2214.0,2789.0,2737.0,854.0,801.0,433.0,267.0,188.0,211.0,217.0,209.0,182.0,156.0,168.0,140.0,121.0,119.0
Immigrants,Foreigners,Botswana,903.0,Africa,913.0,Southern Africa,902.0,Developing regions,10.0,1.0,3.0,3.0,7.0,4.0,2.0,3.0,8.0,8.0,2.0,2.0,4.0,4.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,4.0,4.0,9.0,7.0,11.0,8.0,28.0,15.0,42.0,53.0,64.0,76.0
Immigrants,Foreigners,Brazil,904.0,Latin America and the Caribbean,931.0,South America,902.0,Developing regions,211.0,220.0,192.0,139.0,145.0,130.0,205.0,244.0,394.0,650.0,650.0,877.0,1066.0,866.0,566.0,572.0,586.0,591.0,531.0,626.0,845.0,847.0,745.0,839.0,917.0,969.0,1181.0,1746.0,2138.0,2509.0,2598.0,1508.0,1642.0,1714.0
Immigrants,Foreigners,Brunei Darussalam,935.0,Asia,920.0,South-Eastern Asia,902.0,Developing regions,79.0,6.0,8.0,2.0,2.0,4.0,12.0,16.0,103.0,63.0,44.0,65.0,31.0,36.0,14.0,17.0,4.0,6.0,1.0,3.0,6.0,3.0,4.0,6.0,3.0,4.0,5.0,11.0,10.0,5.0,12.0,6.0,3.0,6.0
Immigrants,Foreigners,Bulgaria,908.0,Europe,923.0,Eastern Europe,901.0,Developed regions,24.0,20.0,12.0,33.0,11.0,24.0,33.0,52.0,43.0,85.0,172.0,611.0,1116.0,965.0,687.0,762.0,825.0,732.0,779.0,832.0,1172.0,1283.0,1517.0,1507.0,2022.0,1738.0,1419.0,1172.0,994.0,784.0,556.0,365.0,451.0,512.0
Immigrants,Foreigners,Burkina Faso,903.0,Africa,914.0,Western Africa,902.0,Developing regions,2.0,1.0,3.0,2.0,3.0,2.0,7.0,18.0,6.0,4.0,4.0,22.0,21.0,19.0,3.0,12.0,16.0,23.0,14.0,20.0,31.0,46.0,37.0,34.0,97.0,91.0,147.0,136.0,139.0,162.0,186.0,144.0,269.0,322.0
Immigrants,Foreigners,Burundi,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,1.0,14.0,19.0,9.0,19.0,14.0,28.0,126.0,367.0,207.0,94.0,202.0,342.0,334.0,364.0,383.0,559.0,626.0,468.0,614.0,448.0,566.0,529.0,604.0,684.0,480.0
Immigrants,Foreigners,Cabo Verde,903.0,Africa,914.0,Western Africa,902.0,Developing regions,1.0,1.0,2.0,0.0,11.0,1.0,9.0,3.0,1.0,7.0,14.0,16.0,15.0,11.0,9.0,4.0,7.0,16.0,9.0,3.0,4.0,5.0,2.0,13.0,3.0,5.0,7.0,2.0,5.0,1.0,3.0,3.0,6.0,2.0
